                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 0.4781,                0.30521,                0.85248,                0.92918,                0.90779,                0.92829,                0.80861,                 0.5461,                0.33097,                0.85175,             0.00053225,             0.00053225,             0.00053225
                     60,                0.47406,                0.29536,                0.84919,                0.96002,                0.90109,                0.93556,                0.80422,                0.54597,                0.32833,                0.84991,             0.00051988,             0.00051988,             0.00051988
                     61,                0.47476,                0.30351,                 0.8516,                0.94207,                0.90747,                0.92647,                0.79532,                0.54838,                0.33137,                 0.8471,              0.0005075,              0.0005075,              0.0005075
                     62,                0.47433,                0.29679,                0.84538,                 0.9294,                0.90883,                0.92597,                 0.7951,                 0.5533,                0.32527,                0.84759,             0.00049513,             0.00049513,             0.00049513
                     63,                0.47994,                0.30492,                0.85682,                0.91042,                0.92229,                0.94274,                0.81563,                0.54483,                0.31294,                0.84708,             0.00048275,             0.00048275,             0.00048275
                     64,                0.47197,                0.29794,                0.85391,                0.96197,                0.88064,                 0.9137,                0.79032,                0.56668,                0.32313,                0.86767,             0.00047038,             0.00047038,             0.00047038
                     65,                0.46481,                0.28932,                0.84689,                0.94834,                0.90021,                0.92958,                0.81026,                0.54419,                0.31969,                0.84718,               0.000458,               0.000458,               0.000458
                     66,                0.46364,                0.28759,                0.84724,                0.94902,                0.90296,                0.93388,                0.80681,                0.54601,                0.33414,                0.85073,             0.00044563,             0.00044563,             0.00044563
                     67,                0.46205,                0.29241,                0.84371,                0.95608,                0.87665,                0.90729,                0.79903,                0.55386,                0.34299,                0.86135,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.4562,                0.28672,                0.84628,                0.93134,                0.88027,                0.89589,                0.78562,                 0.5564,                0.33787,                0.86396,             0.00042087,             0.00042087,             0.00042087
                     69,                0.45853,                0.28368,                0.84978,                0.91783,                 0.8764,                0.89487,                0.77635,                0.57055,                0.33623,                0.86625,              0.0004085,              0.0004085,              0.0004085
                     70,                 0.4503,                0.28477,                0.84551,                0.93081,                0.88025,                0.90729,                0.78922,                  0.561,                0.30917,                0.86462,             0.00039613,             0.00039613,             0.00039613
                     71,                0.45944,                0.28266,                0.84326,                0.92415,                0.89812,                0.91402,                0.79387,                0.54806,                0.32483,                0.85461,             0.00038375,             0.00038375,             0.00038375
                     72,                0.46452,                0.28068,                0.84247,                0.94633,                0.86732,                  0.903,                0.78779,                0.55805,                 0.3173,                 0.8622,             0.00037138,             0.00037138,             0.00037138
                     73,                0.44291,                0.27455,                0.84421,                0.92975,                0.90792,                0.92958,                0.80622,                 0.5536,                0.32353,                0.85372,               0.000359,               0.000359,               0.000359
                     74,                0.44484,                0.27666,                 0.8457,                0.97287,                0.90172,                 0.9279,                 0.8111,                0.54208,                0.32397,                0.84746,             0.00034663,             0.00034663,             0.00034663
                     75,                0.45864,                0.28336,                0.84974,                0.95991,                 0.9063,                 0.9355,                0.80777,                0.54402,                0.31407,                0.84873,             0.00033425,             0.00033425,             0.00033425
                     76,                0.44053,                0.27015,                0.84387,                0.96301,                0.90292,                0.93012,                0.81135,                0.53725,                 0.3166,                0.84495,             0.00032188,             0.00032188,             0.00032188
                     77,                0.44091,                0.27308,                0.83878,                0.95944,                0.90411,                0.93331,                0.81613,                0.53582,                0.31431,                0.84268,              0.0003095,              0.0003095,              0.0003095
                     78,                0.44282,                0.27195,                0.84261,                0.95012,                0.91585,                0.92682,                0.80528,                0.54105,                 0.3118,                0.84696,             0.00029713,             0.00029713,             0.00029713
                     79,                0.43804,                0.26901,                0.84438,                 0.9667,                0.91154,                0.92873,                0.80795,                0.53611,                0.30628,                0.84332,             0.00028475,             0.00028475,             0.00028475
                     80,                0.43296,                0.26997,                0.84055,                0.95258,                0.91324,                0.92825,                0.81072,                0.54217,                0.31199,                0.84966,             0.00027237,             0.00027237,             0.00027237
                     81,                0.41705,                 0.2654,                 0.8369,                0.93691,                0.91798,                 0.9274,                0.80111,                0.54316,                0.30829,                0.84458,                0.00026,                0.00026,                0.00026
                     82,                 0.4268,                0.26363,                0.83601,                0.95905,                0.91491,                0.93388,                0.81745,                0.53293,                0.29857,                0.84379,             0.00024762,             0.00024762,             0.00024762
                     83,                0.42974,                0.26388,                0.83501,                0.95168,                0.89512,                0.92827,                0.80982,                0.54558,                0.31327,                  0.848,             0.00023525,             0.00023525,             0.00023525
                     84,                0.42037,                0.25587,                0.84073,                0.96056,                0.89979,                0.93758,                0.81141,                0.53906,                0.30574,                0.84689,             0.00022288,             0.00022288,             0.00022288
                     85,                0.42504,                 0.2567,                0.83721,                0.94848,                0.89752,                0.91789,                0.79924,                0.54771,                0.30433,                0.85895,              0.0002105,              0.0002105,              0.0002105
                     86,                0.41406,                0.25216,                0.83319,                 0.9424,                 0.8959,                 0.9175,                0.80008,                 0.5479,                0.30175,                0.85903,             0.00019813,             0.00019813,             0.00019813
                     87,                0.42397,                0.25424,                0.83937,                0.96029,                0.88467,                0.91533,                0.79536,                 0.5543,                0.29865,                0.86435,             0.00018575,             0.00018575,             0.00018575
                     88,                0.40629,                0.24893,                0.82991,                0.95002,                0.89666,                0.91562,                0.79995,                0.55283,                0.29391,                0.86655,             0.00017338,             0.00017338,             0.00017338
                     89,                0.41057,                0.25586,                0.83971,                 0.9496,                0.89861,                0.91928,                0.79797,                0.54849,                0.29417,                0.86203,               0.000161,               0.000161,               0.000161
